plot,spacing,xx,type,spores,Experiment,nsources,spores_per_source
B,0.5,4,H,0,7,25,0
B,0.5,4.5,H,0,7,25,0
B,0.5,5,H,0,7,25,0
B,0.5,5.5,H,0,7,25,0
B,0.5,6,D,0,7,25,0
B,0.5,6.5,D,13556,7,25,542.24
B,0.5,7,D,11,7,25,0.44
B,0.5,8,D,0,7,25,0
B,0.5,8.5,E,0,7,25,0
B,0.5,9,E,0,7,25,0
B,0.5,9.5,E,0,7,25,0
B,0.5,10,E,0,7,25,0
C,1,4,H,0,7,9,0
C,1,5,H,0,7,9,0
C,1,6,D,0,7,9,0
C,1,7,D,0,7,9,0
C,1,8,D,0,7,9,0
C,1,9,E,0,7,9,0
C,1,10,E,0,7,9,0
D,0.2,4,H,0,7,121,0
D,0.2,5,H,0,7,121,0
D,0.2,5.2,H,0,7,121,0
D,0.2,5.4,H,0,7,121,0
D,0.2,5.6,H,0,7,121,0
D,0.2,5.8,H,0,7,121,0
D,0.2,6,D,0,7,121,0
D,0.2,6.4,D,1132,7,121,9.355371901
D,0.2,7,D,171,7,121,1.41322314
D,0.2,7.6,D,35,7,121,0.289256198
D,0.2,8,D,170,7,121,1.404958678
D,0.2,8.2,E,16,7,121,0.132231405
D,0.2,8.4,E,32,7,121,0.26446281
D,0.2,8.6,E,0,7,121,0
D,0.2,9,E,96,7,121,0.79338843
D,0.2,10,E,44,7,121,0.363636364
E,2,4,H,117,7,4,29.25
E,2,6,D,0,7,4,0
E,2,8,D,0,7,4,0
E,2,10,E,0,7,4,0
H,2,4,H,263,7,4,65.75
H,2,6,D,564,7,4,141
H,2,8,D,0,7,4,0
F,0.2,5.4,H,0,7,121,0
F,0.2,5.6,H,0,7,121,0
F,0.2,5.8,H,12,7,121,0.099173554
F,0.2,8.2,E,0,7,121,0
F,0.2,8.4,E,212,7,121,1.752066116
F,0.2,8.6,E,48,7,121,0.396694215
G,0.33,4,H,0,7,49,0
G,0.33,5,H,0,7,49,0
G,0.33,5.33,H,0,7,49,0
G,0.33,5.67,H,0,7,49,0
G,0.33,6,D,0,7,49,0
G,0.33,6.67,D,1450,7,49,29.59183673
G,0.33,7.33,D,102,7,49,2.081632653
G,0.33,8,D,228,7,49,4.653061224
G,0.33,8.33,E,14,7,49,0.285714286
G,0.33,8.67,E,0,7,49,0
G,0.33,9,E,0,7,49,0
