"","plot","spacing","xx","type","spores","Experiment","nsources","spores_per_source"
"1","B",0.5,4,"H",0,"A",25,0
"2","B",0.5,4.5,"H",0,"A",25,0
"3","B",0.5,5,"H",0,"A",25,0
"4","B",0.5,5.5,"H",0,"A",25,0
"5","B",0.5,6,"D",0,"A",25,0
"6","B",0.5,6.5,"D",2374,"A",25,94.96
"7","B",0.5,7,"D",10,"A",25,0.4
"8","B",0.5,8,"D",0,"A",25,0
"9","B",0.5,8.5,"E",0,"A",25,0
"10","B",0.5,9,"E",0,"A",25,0
"11","B",0.5,9.5,"E",0,"A",25,0
"12","B",0.5,10,"E",0,"A",25,0
"13","C",1,4,"H",0,"A",9,0
"14","C",1,5,"H",0,"A",9,0
"15","C",1,6,"D",0,"A",9,0
"16","C",1,7,"D",0,"A",9,0
"17","C",1,8,"D",0,"A",9,0
"18","C",1,9,"E",0,"A",9,0
"19","C",1,10,"E",0,"A",9,0
"20","D",0.2,4,"H",0,"A",121,0
"21","D",0.2,5,"H",0,"A",121,0
"22","D",0.2,5.2,"H",0,"A",121,0
"23","D",0.2,5.4,"H",0,"A",121,0
"24","D",0.2,5.6,"H",0,"A",121,0
"25","D",0.2,5.8,"H",0,"A",121,0
"26","D",0.2,6,"D",0,"A",121,0
"27","D",0.2,6.4,"D",371,"A",121,3.06611570247934
"28","D",0.2,7,"D",110,"A",121,0.909090909090909
"29","D",0.2,7.6,"D",10,"A",121,0.0826446280991736
"30","D",0.2,8,"D",20,"A",121,0.165289256198347
"31","D",0.2,8.2,"E",10,"A",121,0.0826446280991736
"32","D",0.2,8.4,"E",10,"A",121,0.0826446280991736
"33","D",0.2,8.6,"E",0,"A",121,0
"34","D",0.2,9,"E",20,"A",121,0.165289256198347
"35","D",0.2,10,"E",10,"A",121,0.0826446280991736
"36","E",2,4,"H",100,"A",4,25
"37","E",2,6,"D",0,"A",4,0
"38","E",2,8,"D",0,"A",4,0
"39","E",2,10,"E",0,"A",4,0
"40","H",2,4,"H",70,"A",4,17.5
"41","H",2,6,"D",120,"A",4,30
"42","H",2,8,"D",0,"A",4,0
"43","F",0.2,5.4,"H",0,"A",121,0
"44","F",0.2,5.6,"H",0,"A",121,0
"45","F",0.2,5.8,"H",10,"A",121,0.0826446280991736
"46","F",0.2,8.2,"E",0,"A",121,0
"47","F",0.2,8.4,"E",100,"A",121,0.826446280991736
"48","F",0.2,8.6,"E",10,"A",121,0.0826446280991736
"49","G",0.33,4,"H",0,"A",49,0
"50","G",0.33,5,"H",0,"A",49,0
"51","G",0.33,5.33,"H",0,"A",49,0
"52","G",0.33,5.67,"H",0,"A",49,0
"53","G",0.33,6,"D",0,"A",49,0
"54","G",0.33,6.67,"D",1120,"A",49,22.8571428571429
"55","G",0.33,7.33,"D",20,"A",49,0.408163265306122
"56","G",0.33,8,"D",200,"A",49,4.08163265306122
"57","G",0.33,8.33,"E",10,"A",49,0.204081632653061
"58","G",0.33,8.67,"E",0,"A",49,0
"59","G",0.33,9,"E",0,"A",49,0
"60","G",0.33,10,"E",0,"A",49,0
"61","D",0.2,4,"H",156,"B",121,1.28925619834711
"62","D",0.2,5,"H",271,"B",121,2.2396694214876
