label,Plot,x.pos,y.pos,count,frames,spacing,area_mm2,spores_mm2_new,dist.from.dis
Upgrid-A-0-0,A,0,0,0,4,1,0.674,0,0
Upgrid-A-0-1,A,0,1,0,4,1,0.674,0,0
Upgrid-A-0-2,A,0,2,0,4,1,0.674,0,0
Upgrid-A-1-0,A,1,0,4,4,1,0.674,5.934718101,1
Upgrid-A-1-1,A,1,1,6,4,1,0.674,8.902077151,1
Upgrid-A-1-2,A,1,2,2,4,1,0.674,2.96735905,1
Upgrid-A-2-0,A,2,0,44,4,1,0.674,65.28189911,2
Upgrid-A-2-1,A,2,1,13,4,1,0.674,19.28783383,2
Upgrid-A-2-2,A,2,2,2,4,1,0.674,2.96735905,2
Upgrid-A-3-0,A,3,0,28,4,1,0.674,41.54302671,3
Upgrid-A-3-1,A,3,1,6,4,1,0.674,8.902077151,3
Upgrid-A-3-2,A,3,2,1,4,1,0.674,1.483679525,3
Upgrid-A-4-0,A,4,0,76,4,1,0.674,112.7596439,4
Upgrid-A-4-1,A,4,1,11,4,1,0.674,16.32047478,4
Upgrid-A-4-2,A,4,2,2,4,1,0.674,2.96735905,4
Upgrid-A-5-0,A,5,0,36,4,1,0.674,53.41246291,5
Upgrid-A-5-1,A,5,1,4,4,1,0.674,5.934718101,5
Upgrid-A-5-2,A,5,2,14,4,1,0.674,20.77151335,5
Upgrid-A-6-0,A,6,0,12,4,1,0.674,17.8041543,6
Upgrid-A-6-1,A,6,1,1,4,1,0.674,1.483679525,6
Upgrid-A-6-2,A,6,2,24,4,1,0.674,35.60830861,6
Upgrid-B-0-0,B,0,0,7,4,0.33,0.674,10.38575668,0
Upgrid-B-0-1,B,0,1,0,4,0.33,0.674,0,0
Upgrid-B-0-3,B,0,3,0,4,0.33,0.674,0,0
Upgrid-B-0-4,B,0,4,4,4,0.33,0.674,5.934718101,0
Upgrid-B-0-5,B,0,5,5,4,0.33,0.674,7.418397626,0
Upgrid-B-0-6,B,0,6,3,4,0.33,0.674,4.451038576,0
Upgrid-B-1-3,B,1,3,0,4,0.33,0.674,0,0
Upgrid-B-1-4,B,1,4,4,4,0.33,0.674,5.934718101,0
Upgrid-B-1-5,B,1,5,17,4,0.33,0.674,25.22255193,0
Upgrid-B-1-6,B,1,6,0,4,0.33,0.674,0,0
Upgrid-B-10-2,B,10,2,42,4,0.33,0.674,62.31454006,3
Upgrid-B-10-3,B,10,3,1,4,0.33,0.674,1.483679525,3
Upgrid-B-10-4,B,10,4,4,4,0.33,0.674,5.934718101,3
Upgrid-B-10-5,B,10,5,1,4,0.33,0.674,1.483679525,3
Upgrid-B-10-6,B,10,6,2,4,0.33,0.674,2.96735905,3
Upgrid-B-11-2,B,11,2,2,4,0.33,0.674,2.96735905,4
Upgrid-B-11-3,B,11,3,5,4,0.33,0.674,7.418397626,4
Upgrid-B-11-4,B,11,4,13,4,0.33,0.674,19.28783383,4
Upgrid-B-11-5,B,11,5,0,4,0.33,0.674,0,4
Upgrid-B-11-6,B,11,6,58,4,0.33,0.674,86.05341246,4
Upgrid-B-12-2,B,12,2,23,4,0.33,0.674,34.12462908,4
Upgrid-B-12-3,B,12,3,7,4,0.33,0.674,10.38575668,4
Upgrid-B-12-4,B,12,4,11,4,0.33,0.674,16.32047478,4
Upgrid-B-12-5,B,12,5,6,4,0.33,0.674,8.902077151,4
Upgrid-B-12-6,B,12,6,40,4,0.33,0.674,59.34718101,4
Upgrid-B-13-2,B,13,2,4,4,0.33,0.674,5.934718101,4
Upgrid-B-13-3,B,13,3,0,4,0.33,0.674,0,4
Upgrid-B-13-4,B,13,4,7,4,0.33,0.674,10.38575668,4
Upgrid-B-13-5,B,13,5,20,4,0.33,0.674,29.6735905,4
Upgrid-B-13-6,B,13,6,6,4,0.33,0.674,8.902077151,4
Upgrid-B-14-2,B,14,2,3,4,0.33,0.674,4.451038576,5
Upgrid-B-14-3,B,14,3,0,4,0.33,0.674,0,5
Upgrid-B-14-4,B,14,4,13,4,0.33,0.674,19.28783383,5
Upgrid-B-14-5,B,14,5,8,4,0.33,0.674,11.8694362,5
Upgrid-B-14-6,B,14,6,6,4,0.33,0.674,8.902077151,5
Upgrid-B-15-2,B,15,2,1,4,0.33,0.674,1.483679525,5
Upgrid-B-15-3,B,15,3,5,4,0.33,0.674,7.418397626,5
Upgrid-B-15-4,B,15,4,41,4,0.33,0.674,60.83086053,5
Upgrid-B-15-5,B,15,5,2,4,0.33,0.674,2.96735905,5
Upgrid-B-15-6,B,15,6,4,4,0.33,0.674,5.934718101,5
Upgrid-B-16-2,B,16,2,13,4,0.33,0.674,19.28783383,5
Upgrid-B-16-3,B,16,3,0,4,0.33,0.674,0,5
Upgrid-B-16-4,B,16,4,12,4,0.33,0.674,17.8041543,5
Upgrid-B-16-5,B,16,5,2,4,0.33,0.674,2.96735905,5
Upgrid-B-16-6,B,16,6,2,4,0.33,0.674,2.96735905,5
Upgrid-B-17-2,B,17,2,5,4,0.33,0.674,7.418397626,6
Upgrid-B-17-3,B,17,3,0,4,0.33,0.674,0,6
