lookup,label,count,frames,Experiment_replicate,Spoke,Tape_meas_dist,X_cor,Y_cor,area_mm2,spores_mm2_new,min_dist_dis
P3-F1,R1-1-I_28.2,8,2,R1,1,28.2,-8.81,26.0499476,0.337,23.7388724,8.9
P3-E1,R1-1-H_17.4,5,2,R1,1,17.4,-5.48,16.2019895,0.337,14.83679525,5.6
P3-D1,R1-1-G_10.6,4,2,R1,1,10.6,-3.41,10.0769671,0.337,11.8694362,3.5
P3-C1,R1-1-F_6.6,1,2,R1,1,6.6,-2.12,6.2674566,0.337,2.96735905,2.1
P3-B1,R1-1-E_4.12,4,2,R1,1,4.12,-1.32,3.8980987,0.337,11.8694362,1.3
P2-B1,R1-1-C_2.57,292,1,R1,1,2.57,-0.82,2.4244561,0.1685,1732.937685,0.8
P1-G12,R1-1-D_1.6,78,2,R1,1,1.6,-0.51,1.5079114,0.337,231.4540059,0.5
P1-F12,R1-1-B_1,46,2,R1,1,1,-0.317,0.9378585,0.337,136.4985163,0.3
P1-E12,R1-1-A_0.63,0,2,R1,1,0.63,-0.197,0.5833092,0.337,0,0.2
P1-D12,R1-2-J_34.92,2,2,R1,2,34.92,-5.66,34.4076527,0.337,5.934718101,8.9
P1-C12,R1-2-I_21.74,3,2,R1,2,21.74,-3.52,21.4001363,0.337,8.902077151,5.6
P1-B12,R1-2-H_14.43,13,2,R1,2,14.43,-2.19,13.3099993,0.337,38.57566766,3.5
P1-A12,R1-2-G_8.34,2,2,R1,2,8.34,-1.36,8.2782688,0.337,5.934718101,2.1
P1-H11,R1-2-F_5.2,1,2,R1,2,5.2,-0.847,5.1487407,0.337,2.96735905,1.3
P1-G11,R1-2-E_3.2,16,2,R1,2,3.2,-0.527,3.2023037,0.337,47.47774481,0.8
P1-F11,R1-2-C_1.93,0,2,R1,2,1.93,-0.328,1.9917004,0.337,0,0.5
P1-E11,R1-2-D_1.22,15,3,R1,2,1.22,-0.204,1.2387552,0.5055,29.6735905,0.3
P1-D11,R1-2-B_0.79,3,2,R1,2,0.79,-0.127,0.7704545,0.337,8.902077151,0.2
P1-C11,R1-2-A_0.49,7,2,R1,2,0.49,-0.0789,0.4791908,0.337,20.77151335,0.2
P1-A10,R1-4-J_34.98,0,2,R1,4,34.98,5.66,34.4076527,0.337,0,8.9
P1-H9,R1-4-I_21.7,0,2,R1,4,21.7,3.52,21.4001363,0.337,0,5.6
P1-G9,R1-4-H_13.45,109,2,R1,4,13.45,2.19,13.3099993,0.337,323.4421365,3.5
P1-F9,R1-4-G_8.36,1,2,R1,4,8.36,1.36,8.2782688,0.337,2.96735905,2.1
