Sample,spacing,column,row,dist.from.dis,spores_mm2_new,Rep,nsources
"Rep8-D_1,2",0.2,1,2,6,206.8070818,B,121
"Rep8-D_1,3",0.2,1,3,6,44.26129426,B,121
"Rep8-D_1,5",0.2,1,5,6,47.31379731,B,121
"Rep8-D_1,6",0.2,1,6,6,19.07814408,B,121
"Rep8-D_1,7",0.2,1,7,6,36.63003663,B,121
"Rep8-D_1,8",0.2,1,8,6,1.717032967,B,121
"Rep8-D_1,9",0.2,1,9,6,21.36752137,B,121
"Rep8-D_1,10",0.2,1,10,6,3.815628816,B,121
"Rep8-D_1,11",0.2,1,11,6,5.341880342,B,121
"Rep8-D_2,1",0.2,2,1,5.8,70.97069597,B,121
"Rep8-D_2,2",0.2,2,2,5.8,78.6019536,B,121
"Rep8-D_2,3",0.2,2,3,5.8,51.89255189,B,121
"Rep8-D_2,5",0.2,2,5,5.8,294.5665446,B,121
"Rep8-D_2,6",0.2,2,6,5.8,28.998779,B,121
"Rep8-D_2,7",0.2,2,7,5.8,27.47252747,B,121
"Rep8-D_2,8",0.2,2,8,5.8,16.78876679,B,121
"Rep8-D_2,9",0.2,2,9,5.8,0.763125763,B,121
"Rep8-D_2,10",0.2,2,10,5.8,7.631257631,B,121
"Rep8-D_2,11",0.2,2,11,5.8,48.07692308,B,121
"Rep8-D_8,1",0.2,8,1,4.6,184.6764347,B,121
"Rep8-D_8,2",0.2,8,2,4.6,18.31501832,B,121
"Rep8-D_8,3",0.2,8,3,4.6,17.55189255,B,121
"Rep8-D_8,5",0.2,8,5,4.6,38.15628816,B,121
"Rep8-D_8,6",0.2,8,6,4.6,0.763125763,B,121
"Rep8-D_8,7",0.2,8,7,4.6,110.6532357,B,121
"Rep8-D_8,9",0.2,8,9,4.6,1.526251526,B,121
"Rep8-D_8,10",0.2,8,10,4.6,3.052503053,B,121
"Rep8-D_8,11",0.2,8,11,4.6,55.70818071,B,121
"Rep8-D_9,1",0.2,9,1,4.4,66.39194139,B,121
"Rep8-D_9,2",0.2,9,2,4.4,39.68253968,B,121
"Rep8-D_9,3",0.2,9,3,4.4,14.4993895,B,121
"Rep8-D_9,4",0.2,9,4,4.4,103.021978,B,121
"Rep8-D_9,6",0.2,9,6,4.4,12.21001221,B,121
"Rep8-D_9,7",0.2,9,7,4.4,74.78632479,B,121
"Rep8-D_9,9",0.2,9,9,4.4,3.052503053,B,121
"Rep8-D_9,10",0.2,9,10,4.4,8.394383394,B,121
"Rep8-D_9,11",0.2,9,11,4.4,93.1013431,B,121
"Rep8-D_15,1",0.2,15,1,3.2,63.33943834,B,121
"Rep8-D_15,2",0.2,15,2,3.2,59.52380952,B,121
"Rep8-D_15,3",0.2,15,3,3.2,147.2832723,B,121
"Rep8-D_15,4",0.2,15,4,3.2,64.86568987,B,121
"Rep8-D_15,5",0.2,15,5,3.2,16.02564103,B,121
"Rep8-D_15,6",0.2,15,6,3.2,9.157509158,B,121
"Rep8-D_15,7",0.2,15,7,3.2,26.70940171,B,121
"Rep8-D_15,8",0.2,15,8,3.2,88.52258852,B,121
"Rep8-D_15,9",0.2,15,9,3.2,0,B,121
"Rep8-D_15,10",0.2,15,10,3.2,4.578754579,B,121
"Rep8-D_16,1",0.2,16,1,3,22.13064713,B,121
"Rep8-D_16,2",0.2,16,2,3,75.54945055,B,121
"Rep8-D_16,3",0.2,16,3,3,35.1037851,B,121
"Rep8-D_16,4",0.2,16,4,3,48.07692308,B,121
"Rep8-D_16,5",0.2,16,5,3,180.0976801,B,121
"Rep8-D_16,6",0.2,16,6,3,22.89377289,B,121
"Rep8-D_16,7",0.2,16,7,3,54.94505495,B,121
"Rep8-D_16,8",0.2,16,8,3,16.02564103,B,121
"Rep8-D_16,9",0.2,16,9,3,28.23565324,B,121
"Rep8-D_16,11",0.2,16,11,3,27.47252747,B,121
"Rep8-D_22,1",0.2,22,1,1.8,403.6935287,B,121
"Rep8-D_22,2",0.2,22,2,1.8,30.52503053,B,121
"Rep8-D_22,4",0.2,22,4,1.8,29.76190476,B,121
"Rep8-D_22,5",0.2,22,5,1.8,51.12942613,B,121
"Rep8-D_22,6",0.2,22,6,1.8,33.57753358,B,121
"Rep8-D_22,7",0.2,22,7,1.8,142.7045177,B,121
"Rep8-D_22,8",0.2,22,8,1.8,67.91819292,B,121
