Replicate,Date,Time,Plot,Spacing,Tubes,Disease_status,Obs_duration,Primary,Primary_per_tube,Secondary,Second_per_prim,Second_per_prim_per_plant
A,19-Jul-17,3:25 PM,F,0.2,35,H,15,4,0.114285714,2,0.5,0.014285714
A,19-Jul-17,3:25 PM,F,0.2,35,D,15,2,0.057142857,0,0,0
A,19-Jul-17,3:25 PM,G,0.33,24,H,15,21,0.875,1,0.047619048,0.001984127
A,19-Jul-17,3:25 PM,G,0.33,24,D,15,9,0.375,1,0.111111111,0.00462963
A,19-Jul-17,3:25 PM,D,0.2,25,H,15,5,0.2,1,0.2,0.008
A,19-Jul-17,3:25 PM,D,0.2,25,D,15,2,0.08,0,0,0
A,19-Jul-17,3:25 PM,D,0.2,25,H,15,13,0.52,2,0.153846154,0.006153846
A,19-Jul-17,3:25 PM,D,0.2,25,D,15,6,0.24,0,0,0
A,19-Jul-17,3:25 PM,D,0.2,25,H,15,6,0.24,3,0.5,0.02
A,19-Jul-17,3:25 PM,D,0.2,25,D,15,6,0.24,2,0.333333333,0.013333333
A,19-Jul-17,3:25 PM,B,0.5,9,H,15,3,0.333333333,0,0,0
A,19-Jul-17,3:25 PM,B,0.5,25,D,15,4,0.16,0,0,0
A,19-Jul-17,3:25 PM,B,0.5,9,H,15,0,0,0,NA,NA
A,19-Jul-17,3:25 PM,B,0.5,25,D,15,5,0.2,0,0,0
A,19-Jul-17,3:25 PM,C,1,9,H,15,5,0.555555556,1,0.2,0.022222222
A,19-Jul-17,3:25 PM,C,1,9,D,15,2,0.222222222,0,0,0
A,19-Jul-17,3:25 PM,C,1,9,H,15,4,0.444444444,1,0.25,0.027777778
A,19-Jul-17,3:25 PM,C,1,9,D,15,2,0.222222222,1,0.5,0.055555556
A,19-Jul-17,4:15 PM,E,2,4,H,15,2,0.5,0,0,0
A,19-Jul-17,4:15 PM,E,2,4,D,15,1,0.25,0,0,0
A,19-Jul-17,4:15 PM,B,0.5,12,H,15,3,0.25,0,0,0
A,19-Jul-17,4:15 PM,B,0.5,12,D,15,1,0.083333333,1,1,0.083333333
A,19-Jul-17,4:15 PM,B,0.5,12,H,15,5,0.416666667,1,0.2,0.016666667
A,19-Jul-17,4:15 PM,B,0.5,12,D,15,2,0.166666667,0,0,0
A,19-Jul-17,4:15 PM,F,0.2,35,H,15,7,0.2,1,0.142857143,0.004081633
A,19-Jul-17,4:15 PM,F,0.2,35,D,15,3,0.085714286,1,0.333333333,0.00952381
A,19-Jul-17,4:15 PM,C,1,9,H,15,3,0.333333333,0,0,0
A,19-Jul-17,4:15 PM,C,1,9,D,15,3,0.333333333,0,0,0
A,19-Jul-17,4:15 PM,C,1,9,H,15,5,0.555555556,0,0,0
A,19-Jul-17,4:15 PM,C,1,9,D,15,1,0.111111111,0,0,0
A,19-Jul-17,4:15 PM,D,0.2,24,H,15,4,0.166666667,0,0,0
A,19-Jul-17,4:15 PM,D,0.2,24,D,15,4,0.166666667,0,0,0
A,19-Jul-17,4:15 PM,D,0.2,24,H,15,9,0.375,1,0.111111111,0.00462963
A,19-Jul-17,4:15 PM,D,0.2,24,D,15,1,0.041666667,0,0,0
A,19-Jul-17,4:15 PM,G,0.33,25,H,15,9,0.36,2,0.222222222,0.008888889
A,19-Jul-17,4:15 PM,G,0.33,25,D,15,10,0.4,2,0.2,0.008
B,24-Jul-17,11:40 AM,B,0.5,9,H,15,4,0.444444444,1,0.25,0.027777778
B,24-Jul-17,11:40 AM,B,0.5,9,D,15,2,0.222222222,0,0,0
B,24-Jul-17,11:40 AM,B,0.5,9,H,15,5,0.555555556,3,0.6,0.066666667
B,24-Jul-17,11:40 AM,B,0.5,9,D,15,4,0.444444444,2,0.5,0.055555556
B,24-Jul-17,11:40 AM,G,0.33,20,H,15,9,0.45,4,0.444444444,0.022222222
B,24-Jul-17,11:40 AM,G,0.33,20,D,15,7,0.35,1,0.142857143,0.007142857
B,24-Jul-17,11:40 AM,G,0.33,20,H,15,11,0.55,3,0.272727273,0.013636364
B,24-Jul-17,11:40 AM,G,0.33,20,D,15,4,0.2,0,0,0
B,24-Jul-17,11:40 AM,C,1,6,H,15,1,0.166666667,0,0,0
B,24-Jul-17,11:40 AM,C,1,6,D,15,4,0.666666667,1,0.25,0.041666667
B,24-Jul-17,11:40 AM,C,1,6,H,15,8,1.333333333,4,0.5,0.083333333
B,24-Jul-17,11:40 AM,C,1,6,D,15,3,0.5,1,0.333333333,0.055555556
B,24-Jul-17,11:40 AM,D,0.2,30,H,15,15,0.5,4,0.266666667,0.008888889
B,24-Jul-17,11:40 AM,D,0.2,30,D,15,7,0.233333333,0,0,0
B,24-Jul-17,11:40 AM,D,0.2,30,H,15,7,0.233333333,2,0.285714286,0.00952381
B,24-Jul-17,11:40 AM,D,0.2,30,D,15,2,0.066666667,1,0.5,0.016666667
B,24-Jul-17,11:40 AM,E,2,4,H,15,6,1.5,1,0.166666667,0.041666667
B,24-Jul-17,11:40 AM,E,2,4,D,15,2,0.5,0,0,0
B,24-Jul-17,11:40 AM,E,2,4,H,15,5,1.25,1,0.2,0.05
B,24-Jul-17,11:40 AM,E,2,4,D,15,0,0,0,NA,NA
B,25-Jul-17,11:45 AM,C,1,9,H,15,4,0.444444444,1,0.25,0.027777778
B,25-Jul-17,11:45 AM,C,1,9,D,15,10,1.111111111,3,0.3,0.033333333
B,25-Jul-17,11:45 AM,C,1,9,H,15,14,1.555555556,2,0.142857143,0.015873016
B,25-Jul-17,11:45 AM,C,1,9,D,15,2,0.222222222,0,0,0
B,25-Jul-17,11:45 AM,D,0.2,30,H,15,13,0.433333333,4,0.307692308,0.01025641
B,25-Jul-17,11:45 AM,D,0.2,30,D,15,4,0.133333333,4,1,0.033333333
B,25-Jul-17,11:45 AM,D,0.2,36,H,15,23,0.638888889,11,0.47826087,0.013285024
B,25-Jul-17,11:45 AM,D,0.2,36,D,15,12,0.333333333,5,0.416666667,0.011574074
B,25-Jul-17,11:45 AM,E,2,2,H,15,5,2.5,0,0,0
